,country,model,variable,sim_id,year,value
116,Austria,Theta,Population,15,2026,9224305.662
117,Austria,Theta,Population,15,2027,9260691.975
118,Austria,Theta,Population,15,2028,9326857.472
119,Austria,Theta,Population,15,2029,9403210.596
120,Austria,Theta,Population,15,2030,9455965.456
121,Austria,Theta,Population,16,2023,9197785.088
122,Austria,Theta,Population,16,2024,9182251.122
123,Austria,Theta,Population,16,2025,9242064.268
124,Austria,Theta,Population,16,2026,9319678.62
125,Austria,Theta,Population,16,2027,9384266.416
126,Austria,Theta,Population,16,2028,9458954.945
127,Austria,Theta,Population,16,2029,9530164.827
128,Austria,Theta,Population,16,2030,9601326.848
129,Austria,Theta,Population,17,2023,9167205.396
130,Austria,Theta,Population,17,2024,9149730.888
131,Austria,Theta,Population,17,2025,9191685.202
132,Austria,Theta,Population,17,2026,9232886.734
133,Austria,Theta,Population,17,2027,9291945.958
134,Austria,Theta,Population,17,2028,9391690.067
135,Austria,Theta,Population,17,2029,9527756.356
136,Austria,Theta,Population,17,2030,9641740.181
137,Austria,Theta,Population,18,2023,9219655.239
138,Austria,Theta,Population,18,2024,9234682.665
139,Austria,Theta,Population,18,2025,9264436.711
140,Austria,Theta,Population,18,2026,9298213.597
141,Austria,Theta,Population,18,2027,9340006.095
142,Austria,Theta,Population,18,2028,9429956.704
143,Austria,Theta,Population,18,2029,9545234.295
144,Austria,Theta,Population,18,2030,9646230.528
145,Austria,Theta,Population,19,2023,9163171.549
146,Austria,Theta,Population,19,2024,9239284.609
147,Austria,Theta,Population,19,2025,9278993.015
148,Austria,Theta,Population,19,2026,9306424.983
149,Austria,Theta,Population,19,2027,9367432.718
150,Austria,Theta,Population,19,2028,9453984.657
151,Austria,Theta,Population,19,2029,9584813.997
152,Austria,Theta,Population,19,2030,9698793.07
153,Austria,Theta,Population,20,2023,9198665.158
154,Austria,Theta,Population,20,2024,9216184.033
155,Austria,Theta,Population,20,2025,9270190.587
156,Austria,Theta,Population,20,2026,9299175.858
157,Austria,Theta,Population,20,2027,9373827.654
158,Austria,Theta,Population,20,2028,9453413.663
159,Austria,Theta,Population,20,2029,9477044.492
160,Austria,Theta,Population,20,2030,9565955.151
161,Austria,Theta,Population,21,2023,9171480.87
162,Austria,Theta,Population,21,2024,9187122.223
163,Austria,Theta,Population,21,2025,9216175.528
164,Austria,Theta,Population,21,2026,9302011.924
165,Austria,Theta,Population,21,2027,9371066.019
166,Austria,Theta,Population,21,2028,9438617.776
167,Austria,Theta,Population,21,2029,9519275.587
168,Austria,Theta,Population,21,2030,9597536.914
169,Austria,Theta,Population,22,2023,9162804.71
170,Austria,Theta,Population,22,2024,9169730.069
171,Austria,Theta,Population,22,2025,9230827.536
172,Austria,Theta,Population,22,2026,9291998.406
173,Austria,Theta,Population,22,2027,9305430.566
174,Austria,Theta,Population,22,2028,9368328.245
175,Austria,Theta,Population,22,2029,9470850.891
176,Austria,Theta,Population,22,2030,9602153.714
177,Austria,Theta,Population,23,2023,9173291.44
178,Austria,Theta,Population,23,2024,9169910.853
179,Austria,Theta,Population,23,2025,9202063.089
180,Austria,Theta,Population,23,2026,9241230.276
181,Austria,Theta,Population,23,2027,9316914.594
182,Austria,Theta,Population,23,2028,9382746.821
183,Austria,Theta,Population,23,2029,9486108.268
184,Austria,Theta,Population,23,2030,9562199.481
185,Austria,Theta,Population,24,2023,9187595.167
186,Austria,Theta,Population,24,2024,9258815.835
187,Austria,Theta,Population,24,2025,9320643.701
188,Austria,Theta,Population,24,2026,9328731.736
189,Austria,Theta,Population,24,2027,9353847.808
190,Austria,Theta,Population,24,2028,9433493.32
191,Austria,Theta,Population,24,2029,9529129.49
192,Austria,Theta,Population,24,2030,9657970.605
193,Austria,Theta,Population,25,2023,9167227.352
194,Austria,Theta,Population,25,2024,9266471.497
195,Austria,Theta,Population,25,2025,9318802.092
196,Austria,Theta,Population,25,2026,9391833.672
197,Austria,Theta,Population,25,2027,9441661.041
198,Austria,Theta,Population,25,2028,9538966.96
199,Austria,Theta,Population,25,2029,9627438.625
200,Austria,Theta,Population,25,2030,9709102.081
201,Austria,Theta,Population,26,2023,9156357.878
202,Austria,Theta,Population,26,2024,9138913.649
203,Austria,Theta,Population,26,2025,9157356.549
204,Austria,Theta,Population,26,2026,9234637.492
205,Austria,Theta,Population,26,2027,9278646.169
206,Austria,Theta,Population,26,2028,9385201.537
207,Austria,Theta,Population,26,2029,9510223.089
208,Austria,Theta,Population,26,2030,9661239.405
209,Austria,Theta,Population,27,2023,9214765.381
210,Austria,Theta,Population,27,2024,9266137.209
211,Austria,Theta,Population,27,2025,9267567.474
212,Austria,Theta,Population,27,2026,9294812.175
213,Austria,Theta,Population,27,2027,9358734.945
214,Austria,Theta,Population,27,2028,9379627.165
215,Austria,Theta,Population,27,2029,9432720.063
216,Austria,Theta,Population,27,2030,9574676.622
217,Austria,Theta,Population,28,2023,9185728.371
218,Austria,Theta,Population,28,2024,9224208.939
219,Austria,Theta,Population,28,2025,9267926.209
220,Austria,Theta,Population,28,2026,9343617.095
221,Austria,Theta,Population,28,2027,9408322.905
222,Austria,Theta,Population,28,2028,9461992.087
223,Austria,Theta,Population,28,2029,9609237.946
224,Austria,Theta,Population,28,2030,9670307.099
225,Austria,Theta,Population,29,2023,9209725.218
226,Austria,Theta,Population,29,2024,9248906.35
227,Austria,Theta,Population,29,2025,9273395.327
228,Austria,Theta,Population,29,2026,9301735.1
229,Austria,Theta,Population,29,2027,9391342.403
230,Austria,Theta,Population,29,2028,9479075.971
231,Austria,Theta,Population,29,2029,9528439.394
232,Austria,Theta,Population,29,2030,9681027.515
233,Austria,Theta,Population,30,2023,9116910.697
234,Austria,Theta,Population,30,2024,9116169.68
235,Austria,Theta,Population,30,2025,9192482.652
236,Austria,Theta,Population,30,2026,9235107.758
237,Austria,Theta,Population,30,2027,9353979.815
238,Austria,Theta,Population,30,2028,9435880.811
239,Austria,Theta,Population,30,2029,9524005.879
240,Austria,Theta,Population,30,2030,9630218.898
241,Austria,Theta,Population,31,2023,9137109.107
242,Austria,Theta,Population,31,2024,9188241.154
243,Austria,Theta,Population,31,2025,9152576.664
244,Austria,Theta,Population,31,2026,9204583.7
245,Austria,Theta,Population,31,2027,9279439.342
246,Austria,Theta,Population,31,2028,9388532.683
247,Austria,Theta,Population,31,2029,9506784.831
248,Austria,Theta,Population,31,2030,9650533.818
249,Austria,Theta,Population,32,2023,9129658.732
250,Austria,Theta,Population,32,2024,9160951.147
251,Austria,Theta,Population,32,2025,9150391.436
252,Austria,Theta,Population,32,2026,9203095.017
253,Austria,Theta,Population,32,2027,9241873.279
254,Austria,Theta,Population,32,2028,9353627.691
255,Austria,Theta,Population,32,2029,9474313.184
256,Austria,Theta,Population,32,2030,9541390.594
257,Austria,Theta,Population,33,2023,9199330.998
258,Austria,Theta,Population,33,2024,9295244.203
259,Austria,Theta,Population,33,2025,9278442.307
260,Austria,Theta,Population,33,2026,9314554.235
261,Austria,Theta,Population,33,2027,9360396.743
262,Austria,Theta,Population,33,2028,9383520.633
263,Austria,Theta,Population,33,2029,9441236.939
264,Austria,Theta,Population,33,2030,9563819.674
265,Austria,Theta,Population,34,2023,9187825.093
266,Austria,Theta,Population,34,2024,9207684.403
267,Austria,Theta,Population,34,2025,9296794.263
268,Austria,Theta,Population,34,2026,9374445.055
269,Austria,Theta,Population,34,2027,9456443.695
270,Austria,Theta,Population,34,2028,9539878.919
271,Austria,Theta,Population,34,2029,9620248.756
272,Austria,Theta,Population,34,2030,9719697.797
273,Austria,Theta,Population,35,2023,9135759.119
274,Austria,Theta,Population,35,2024,9103785.151
275,Austria,Theta,Population,35,2025,9195192.839
276,Austria,Theta,Population,35,2026,9250073.342
277,Austria,Theta,Population,35,2027,9308583.312
278,Austria,Theta,Population,35,2028,9385271.033
279,Austria,Theta,Population,35,2029,9437961.707
280,Austria,Theta,Population,35,2030,9569746.302
281,Austria,Theta,Population,36,2023,9208306.594
282,Austria,Theta,Population,36,2024,9198997.628
283,Austria,Theta,Population,36,2025,9177654.147
284,Austria,Theta,Population,36,2026,9288787.818
285,Austria,Theta,Population,36,2027,9311165.446
286,Austria,Theta,Population,36,2028,9433068.558
287,Austria,Theta,Population,36,2029,9488968.944
288,Austria,Theta,Population,36,2030,9622210.227
289,Austria,Theta,Population,37,2023,9203062.661
290,Austria,Theta,Population,37,2024,9230900.335
291,Austria,Theta,Population,37,2025,9223587.286
292,Austria,Theta,Population,37,2026,9275094.415
293,Austria,Theta,Population,37,2027,9315248.143
294,Austria,Theta,Population,37,2028,9434202.49
295,Austria,Theta,Population,37,2029,9512838.984
296,Austria,Theta,Population,37,2030,9628080.501
297,Austria,Theta,Population,38,2023,9207474.79
298,Austria,Theta,Population,38,2024,9204359.028
299,Austria,Theta,Population,38,2025,9250692.161
300,Austria,Theta,Population,38,2026,9321685.896
301,Austria,Theta,Population,38,2027,9388339.754
302,Austria,Theta,Population,38,2028,9452544.922
303,Austria,Theta,Population,38,2029,9553490.379
304,Austria,Theta,Population,38,2030,9687482.777
305,Austria,Theta,Population,39,2023,9206810.335
306,Austria,Theta,Population,39,2024,9154561.761
307,Austria,Theta,Population,39,2025,9224788.401
308,Austria,Theta,Population,39,2026,9280981.044
309,Austria,Theta,Population,39,2027,9328827.419
310,Austria,Theta,Population,39,2028,9366147.716
311,Austria,Theta,Population,39,2029,9457351.286
312,Austria,Theta,Population,39,2030,9548031.314
313,Austria,Theta,Population,40,2023,9242564.099
314,Austria,Theta,Population,40,2024,9270538.396
315,Austria,Theta,Population,40,2025,9358260.241
316,Austria,Theta,Population,40,2026,9424917.315
317,Austria,Theta,Population,40,2027,9501221.698
318,Austria,Theta,Population,40,2028,9580172.171
319,Austria,Theta,Population,40,2029,9670973.113
320,Austria,Theta,Population,40,2030,9813572.393
321,Austria,Theta,Population,41,2023,9173872.358
322,Austria,Theta,Population,41,2024,9228226.83
323,Austria,Theta,Population,41,2025,9284872.026
324,Austria,Theta,Population,41,2026,9321282.54
325,Austria,Theta,Population,41,2027,9428693.386
326,Austria,Theta,Population,41,2028,9509939.965
327,Austria,Theta,Population,41,2029,9592105.015
328,Austria,Theta,Population,41,2030,9640956.903
329,Austria,Theta,Population,42,2023,9200402.606
330,Austria,Theta,Population,42,2024,9229352.08
331,Austria,Theta,Population,42,2025,9240871.921
332,Austria,Theta,Population,42,2026,9253989.232
333,Austria,Theta,Population,42,2027,9368894.776
334,Austria,Theta,Population,42,2028,9488008.59
335,Austria,Theta,Population,42,2029,9559116.606
336,Austria,Theta,Population,42,2030,9659162.794
337,Austria,Theta,Population,43,2023,9123832.587
338,Austria,Theta,Population,43,2024,9199387.543
339,Austria,Theta,Population,43,2025,9213377.451
340,Austria,Theta,Population,43,2026,9265630.005
341,Austria,Theta,Population,43,2027,9360485.299
342,Austria,Theta,Population,43,2028,9423794.666
343,Austria,Theta,Population,43,2029,9500028.118
344,Austria,Theta,Population,43,2030,9579166.225
345,Austria,Theta,Population,44,2023,9127607.911
346,Austria,Theta,Population,44,2024,9140449.616
347,Austria,Theta,Population,44,2025,9209843.594
348,Austria,Theta,Population,44,2026,9260762.572
349,Austria,Theta,Population,44,2027,9341938.069
350,Austria,Theta,Population,44,2028,9387243.749
351,Austria,Theta,Population,44,2029,9493746.272
352,Austria,Theta,Population,44,2030,9615383.782
353,Austria,Theta,Population,45,2023,9158961.39
354,Austria,Theta,Population,45,2024,9145662.415
355,Austria,Theta,Population,45,2025,9114852.262
356,Austria,Theta,Population,45,2026,9175874.517
357,Austria,Theta,Population,45,2027,9236785.804
358,Austria,Theta,Population,45,2028,9342433.444
359,Austria,Theta,Population,45,2029,9454029.262
360,Austria,Theta,Population,45,2030,9556448.545
361,Austria,Theta,Population,46,2023,9105471.52
362,Austria,Theta,Population,46,2024,9161881.358
363,Austria,Theta,Population,46,2025,9205738.983
364,Austria,Theta,Population,46,2026,9268696.708
365,Austria,Theta,Population,46,2027,9294261.928
366,Austria,Theta,Population,46,2028,9433549.307
367,Austria,Theta,Population,46,2029,9528905.186
368,Austria,Theta,Population,46,2030,9635348.252
369,Austria,Theta,Population,47,2023,9177904.108
370,Austria,Theta,Population,47,2024,9215779.382
371,Austria,Theta,Population,47,2025,9257290.237
372,Austria,Theta,Population,47,2026,9309243.86
373,Austria,Theta,Population,47,2027,9348330.165
374,Austria,Theta,Population,47,2028,9419727.045
375,Austria,Theta,Population,47,2029,9468708.36
376,Austria,Theta,Population,47,2030,9559164.913
377,Austria,Theta,Population,48,2023,9178144.556
378,Austria,Theta,Population,48,2024,9178816.816
379,Austria,Theta,Population,48,2025,9246839.799
380,Austria,Theta,Population,48,2026,9281998.424
381,Austria,Theta,Population,48,2027,9366849.556
382,Austria,Theta,Population,48,2028,9474931.74
383,Austria,Theta,Population,48,2029,9521439.399
384,Austria,Theta,Population,48,2030,9612213.805
385,Austria,Theta,Population,49,2023,9189497.226
386,Austria,Theta,Population,49,2024,9253170.338
387,Austria,Theta,Population,49,2025,9318418.178
388,Austria,Theta,Population,49,2026,9350893.852
389,Austria,Theta,Population,49,2027,9460063.654
390,Austria,Theta,Population,49,2028,9562157.47
391,Austria,Theta,Population,49,2029,9579317.792
392,Austria,Theta,Population,49,2030,9693269.648
393,Austria,Theta,Population,50,2023,9185496.66
394,Austria,Theta,Population,50,2024,9252358.304
395,Austria,Theta,Population,50,2025,9329823.775
396,Austria,Theta,Population,50,2026,9383003.442
397,Austria,Theta,Population,50,2027,9456802.445
398,Austria,Theta,Population,50,2028,9537858.922
399,Austria,Theta,Population,50,2029,9590360.634
400,Austria,Theta,Population,50,2030,9668666.315
401,Austria,Theta,Population,51,2023,9198097.599
402,Austria,Theta,Population,51,2024,9174029.283
403,Austria,Theta,Population,51,2025,9176206.224
404,Austria,Theta,Population,51,2026,9260051.486
405,Austria,Theta,Population,51,2027,9329769.169
406,Austria,Theta,Population,51,2028,9428405.227
407,Austria,Theta,Population,51,2029,9519386.756
408,Austria,Theta,Population,51,2030,9581313.555
409,Austria,Theta,Population,52,2023,9090043.782
410,Austria,Theta,Population,52,2024,9110734.545
411,Austria,Theta,Population,52,2025,9211201.077
412,Austria,Theta,Population,52,2026,9305633.91
413,Austria,Theta,Population,52,2027,9394269.136
414,Austria,Theta,Population,52,2028,9477286.063
415,Austria,Theta,Population,52,2029,9620579.056
416,Austria,Theta,Population,52,2030,9708646.329
417,Austria,Theta,Population,53,2023,9132087.5
418,Austria,Theta,Population,53,2024,9145943.627
419,Austria,Theta,Population,53,2025,9163667.848
420,Austria,Theta,Population,53,2026,9185594.023
421,Austria,Theta,Population,53,2027,9242497.442
422,Austria,Theta,Population,53,2028,9374152.417
423,Austria,Theta,Population,53,2029,9455775.473
424,Austria,Theta,Population,53,2030,9594719.293
425,Austria,Theta,Population,54,2023,9220207.374
426,Austria,Theta,Population,54,2024,9272574.794
427,Austria,Theta,Population,54,2025,9303396.584
428,Austria,Theta,Population,54,2026,9338672.461
429,Austria,Theta,Population,54,2027,9402997.077
430,Austria,Theta,Population,54,2028,9511347.998
431,Austria,Theta,Population,54,2029,9634052.615
432,Austria,Theta,Population,54,2030,9708394.175
433,Austria,Theta,Population,55,2023,9178297.622
434,Austria,Theta,Population,55,2024,9181300.511
435,Austria,Theta,Population,55,2025,9209608.86
436,Austria,Theta,Population,55,2026,9313475.409
437,Austria,Theta,Population,55,2027,9383676.867
438,Austria,Theta,Population,55,2028,9443474.596
439,Austria,Theta,Population,55,2029,9570502.285
440,Austria,Theta,Population,55,2030,9663807.076
441,Austria,Theta,Population,56,2023,9097971.857
442,Austria,Theta,Population,56,2024,9111825.988
443,Austria,Theta,Population,56,2025,9121396.816
444,Austria,Theta,Population,56,2026,9135538.153
445,Austria,Theta,Population,56,2027,9201337.617
446,Austria,Theta,Population,56,2028,9308710.11
447,Austria,Theta,Population,56,2029,9430651.731
448,Austria,Theta,Population,56,2030,9486389.642
449,Austria,Theta,Population,57,2023,9192967.915
450,Austria,Theta,Population,57,2024,9231599.948
451,Austria,Theta,Population,57,2025,9265045.705
452,Austria,Theta,Population,57,2026,9273249.555
453,Austria,Theta,Population,57,2027,9377275.488
454,Austria,Theta,Population,57,2028,9468881.291
455,Austria,Theta,Population,57,2029,9606640.191
456,Austria,Theta,Population,57,2030,9751770.798
457,Austria,Theta,Population,58,2023,9213705.553
458,Austria,Theta,Population,58,2024,9298013.358
459,Austria,Theta,Population,58,2025,9332765.163
460,Austria,Theta,Population,58,2026,9375912.643
461,Austria,Theta,Population,58,2027,9429105.622
462,Austria,Theta,Population,58,2028,9442360.692
463,Austria,Theta,Population,58,2029,9555376.194
464,Austria,Theta,Population,58,2030,9677545.211
465,Austria,Theta,Population,59,2023,9123371.073
466,Austria,Theta,Population,59,2024,9165549.174
467,Austria,Theta,Population,59,2025,9177815
468,Austria,Theta,Population,59,2026,9231923.486
469,Austria,Theta,Population,59,2027,9323036.118
470,Austria,Theta,Population,59,2028,9382701.46
471,Austria,Theta,Population,59,2029,9408018.907
472,Austria,Theta,Population,59,2030,9518710.886
473,Austria,Theta,Population,60,2023,9132709.171
474,Austria,Theta,Population,60,2024,9117289.329
475,Austria,Theta,Population,60,2025,9160098.511
476,Austria,Theta,Population,60,2026,9208003.642
477,Austria,Theta,Population,60,2027,9353061.716
478,Austria,Theta,Population,60,2028,9445029.377
479,Austria,Theta,Population,60,2029,9557253.628
480,Austria,Theta,Population,60,2030,9648460.746
481,Austria,Theta,Population,61,2023,9167637.882
482,Austria,Theta,Population,61,2024,9162299.982
483,Austria,Theta,Population,61,2025,9211235.838
484,Austria,Theta,Population,61,2026,9260037.231
485,Austria,Theta,Population,61,2027,9325228.633
486,Austria,Theta,Population,61,2028,9399225.762
487,Austria,Theta,Population,61,2029,9456043.583
488,Austria,Theta,Population,61,2030,9503200.481
489,Austria,Theta,Population,62,2023,9127041.082
490,Austria,Theta,Population,62,2024,9164094.86
491,Austria,Theta,Population,62,2025,9228971.595
492,Austria,Theta,Population,62,2026,9273669.687
493,Austria,Theta,Population,62,2027,9372522.468
494,Austria,Theta,Population,62,2028,9484896.55
495,Austria,Theta,Population,62,2029,9559575.857
496,Austria,Theta,Population,62,2030,9718639.41
497,Austria,Theta,Population,63,2023,9126044.115
498,Austria,Theta,Population,63,2024,9142299.445
499,Austria,Theta,Population,63,2025,9137783.329
500,Austria,Theta,Population,63,2026,9213174.834
501,Austria,Theta,Population,63,2027,9316864.398
502,Austria,Theta,Population,63,2028,9378244.03
503,Austria,Theta,Population,63,2029,9469457.876
504,Austria,Theta,Population,63,2030,9576213.385
505,Austria,Theta,Population,64,2023,9195309.329
506,Austria,Theta,Population,64,2024,9235609.239
507,Austria,Theta,Population,64,2025,9264760.571
508,Austria,Theta,Population,64,2026,9298934.021
509,Austria,Theta,Population,64,2027,9370189.296
510,Austria,Theta,Population,64,2028,9453909.643
511,Austria,Theta,Population,64,2029,9553711.949
512,Austria,Theta,Population,64,2030,9676817.44
513,Austria,Theta,Population,65,2023,9162040.225
514,Austria,Theta,Population,65,2024,9164127.194
515,Austria,Theta,Population,65,2025,9192093.014
516,Austria,Theta,Population,65,2026,9294654.716
517,Austria,Theta,Population,65,2027,9360254.704
518,Austria,Theta,Population,65,2028,9472066.035
519,Austria,Theta,Population,65,2029,9557646.23
520,Austria,Theta,Population,65,2030,9718610.975
521,Austria,Theta,Population,66,2023,9147049.146
522,Austria,Theta,Population,66,2024,9184933.862
523,Austria,Theta,Population,66,2025,9235113.45
524,Austria,Theta,Population,66,2026,9314849.243
525,Austria,Theta,Population,66,2027,9414794.063
526,Austria,Theta,Population,66,2028,9439560.962
527,Austria,Theta,Population,66,2029,9553979.568
528,Austria,Theta,Population,66,2030,9696115.296
529,Austria,Theta,Population,67,2023,9154727.63
530,Austria,Theta,Population,67,2024,9211144.931
531,Austria,Theta,Population,67,2025,9274440.374
532,Austria,Theta,Population,67,2026,9367398.016
533,Austria,Theta,Population,67,2027,9446789.13
534,Austria,Theta,Population,67,2028,9529080.789
535,Austria,Theta,Population,67,2029,9642172.171
536,Austria,Theta,Population,67,2030,9748515.913
537,Austria,Theta,Population,68,2023,9177625.719
538,Austria,Theta,Population,68,2024,9168554.167
539,Austria,Theta,Population,68,2025,9192178.206
540,Austria,Theta,Population,68,2026,9236823.574
541,Austria,Theta,Population,68,2027,9320918.768
542,Austria,Theta,Population,68,2028,9361712.038
543,Austria,Theta,Population,68,2029,9485414.485
544,Austria,Theta,Population,68,2030,9630708.523
545,Austria,Theta,Population,69,2023,9184443.266
546,Austria,Theta,Population,69,2024,9219490.619
547,Austria,Theta,Population,69,2025,9254978.589
548,Austria,Theta,Population,69,2026,9384875.676
549,Austria,Theta,Population,69,2027,9468110.049
550,Austria,Theta,Population,69,2028,9538555.813
551,Austria,Theta,Population,69,2029,9661444.399
552,Austria,Theta,Population,69,2030,9769088.715
553,Austria,Theta,Population,70,2023,9165356.752
554,Austria,Theta,Population,70,2024,9227069.226
555,Austria,Theta,Population,70,2025,9270412.639
556,Austria,Theta,Population,70,2026,9354277.685
557,Austria,Theta,Population,70,2027,9423348.877
558,Austria,Theta,Population,70,2028,9476568.351
559,Austria,Theta,Population,70,2029,9554733.071
560,Austria,Theta,Population,70,2030,9623426.365
561,Austria,Theta,Population,71,2023,9238935.462
562,Austria,Theta,Population,71,2024,9285497.369
563,Austria,Theta,Population,71,2025,9316029.887
564,Austria,Theta,Population,71,2026,9421785.261
565,Austria,Theta,Population,71,2027,9514089.231
566,Austria,Theta,Population,71,2028,9557561.917
567,Austria,Theta,Population,71,2029,9656995.455
568,Austria,Theta,Population,71,2030,9801691.332
569,Austria,Theta,Population,72,2023,9214917.113
570,Austria,Theta,Population,72,2024,9273611.768
571,Austria,Theta,Population,72,2025,9301018.024
572,Austria,Theta,Population,72,2026,9344367.807
573,Austria,Theta,Population,72,2027,9353456.867
574,Austria,Theta,Population,72,2028,9417798.669
575,Austria,Theta,Population,72,2029,9485722.769
576,Austria,Theta,Population,72,2030,9574075.476
577,Austria,Theta,Population,73,2023,9165996.598
578,Austria,Theta,Population,73,2024,9190467.752
579,Austria,Theta,Population,73,2025,9184913.072
580,Austria,Theta,Population,73,2026,9258352.357
581,Austria,Theta,Population,73,2027,9343312.718
