,country,model,variable,sim_id,year,value
112,Austria,Theta,GDP,14,2030,60820.93684
113,Austria,Theta,GDP,15,2023,46758.95101
114,Austria,Theta,GDP,15,2024,48759.35486
115,Austria,Theta,GDP,15,2025,50105.95483
116,Austria,Theta,GDP,15,2026,52245.8664
117,Austria,Theta,GDP,15,2027,53403.27099
118,Austria,Theta,GDP,15,2028,57006.23825
119,Austria,Theta,GDP,15,2029,59809.47492
120,Austria,Theta,GDP,15,2030,63302.92212
121,Austria,Theta,GDP,16,2023,46298.24257
122,Austria,Theta,GDP,16,2024,47600.97638
123,Austria,Theta,GDP,16,2025,49439.05226
124,Austria,Theta,GDP,16,2026,50281.34267
125,Austria,Theta,GDP,16,2027,51582.13274
126,Austria,Theta,GDP,16,2028,52179.93727
127,Austria,Theta,GDP,16,2029,53683.79232
128,Austria,Theta,GDP,16,2030,56389.22002
129,Austria,Theta,GDP,17,2023,46042.47753
130,Austria,Theta,GDP,17,2024,47216.66394
131,Austria,Theta,GDP,17,2025,48053.74256
132,Austria,Theta,GDP,17,2026,50078.0008
133,Austria,Theta,GDP,17,2027,52282.28325
134,Austria,Theta,GDP,17,2028,53241.08499
135,Austria,Theta,GDP,17,2029,54804.06964
136,Austria,Theta,GDP,17,2030,57665.23467
137,Austria,Theta,GDP,18,2023,47177.27216
138,Austria,Theta,GDP,18,2024,47146.76696
139,Austria,Theta,GDP,18,2025,47319.72793
140,Austria,Theta,GDP,18,2026,48942.7939
141,Austria,Theta,GDP,18,2027,50639.42106
142,Austria,Theta,GDP,18,2028,52736.14681
143,Austria,Theta,GDP,18,2029,55463.45497
144,Austria,Theta,GDP,18,2030,58488.86495
145,Austria,Theta,GDP,19,2023,46624.94011
146,Austria,Theta,GDP,19,2024,46966.95906
147,Austria,Theta,GDP,19,2025,46783.30479
148,Austria,Theta,GDP,19,2026,47808.39327
149,Austria,Theta,GDP,19,2027,48757.97746
150,Austria,Theta,GDP,19,2028,51074.5789
151,Austria,Theta,GDP,19,2029,54493.78769
152,Austria,Theta,GDP,19,2030,58662.2442
153,Austria,Theta,GDP,20,2023,44751.24569
154,Austria,Theta,GDP,20,2024,43636.46481
155,Austria,Theta,GDP,20,2025,43585.81656
156,Austria,Theta,GDP,20,2026,43636.76803
157,Austria,Theta,GDP,20,2027,44892.27806
158,Austria,Theta,GDP,20,2028,48080.9739
159,Austria,Theta,GDP,20,2029,51184.15869
160,Austria,Theta,GDP,20,2030,53715.96951
161,Austria,Theta,GDP,21,2023,45664.0502
162,Austria,Theta,GDP,21,2024,45967.16371
163,Austria,Theta,GDP,21,2025,45550.82293
164,Austria,Theta,GDP,21,2026,45977.14382
165,Austria,Theta,GDP,21,2027,47249.34015
166,Austria,Theta,GDP,21,2028,48978.30511
167,Austria,Theta,GDP,21,2029,50253.11326
168,Austria,Theta,GDP,21,2030,51141.87957
169,Austria,Theta,GDP,22,2023,46613.07861
170,Austria,Theta,GDP,22,2024,46295.02192
171,Austria,Theta,GDP,22,2025,47375.08727
172,Austria,Theta,GDP,22,2026,49466.96314
173,Austria,Theta,GDP,22,2027,51000.18051
174,Austria,Theta,GDP,22,2028,53168.68582
175,Austria,Theta,GDP,22,2029,57091.80204
176,Austria,Theta,GDP,22,2030,59229.03036
177,Austria,Theta,GDP,23,2023,45393.475
178,Austria,Theta,GDP,23,2024,44574.08738
179,Austria,Theta,GDP,23,2025,45735.51105
180,Austria,Theta,GDP,23,2026,49137.84567
181,Austria,Theta,GDP,23,2027,51764.35321
182,Austria,Theta,GDP,23,2028,53014.45008
183,Austria,Theta,GDP,23,2029,53746.33786
184,Austria,Theta,GDP,23,2030,56727.95682
185,Austria,Theta,GDP,24,2023,46758.71235
186,Austria,Theta,GDP,24,2024,47125.37917
187,Austria,Theta,GDP,24,2025,48048.20154
188,Austria,Theta,GDP,24,2026,48571.43558
189,Austria,Theta,GDP,24,2027,49179.20051
190,Austria,Theta,GDP,24,2028,51189.77134
191,Austria,Theta,GDP,24,2029,53683.18286
192,Austria,Theta,GDP,24,2030,55747.94365
193,Austria,Theta,GDP,25,2023,45419.00989
194,Austria,Theta,GDP,25,2024,46734.42234
195,Austria,Theta,GDP,25,2025,48753.98859
196,Austria,Theta,GDP,25,2026,50691.56229
197,Austria,Theta,GDP,25,2027,51634.17828
198,Austria,Theta,GDP,25,2028,53280.47601
199,Austria,Theta,GDP,25,2029,55153.15255
200,Austria,Theta,GDP,25,2030,57730.59101
201,Austria,Theta,GDP,26,2023,45453.27248
202,Austria,Theta,GDP,26,2024,45213.05612
203,Austria,Theta,GDP,26,2025,45786.70131
204,Austria,Theta,GDP,26,2026,46439.06895
205,Austria,Theta,GDP,26,2027,47393.92216
206,Austria,Theta,GDP,26,2028,50179.48875
207,Austria,Theta,GDP,26,2029,53448.36224
208,Austria,Theta,GDP,26,2030,55386.23849
209,Austria,Theta,GDP,27,2023,45911.4924
210,Austria,Theta,GDP,27,2024,46237.09168
211,Austria,Theta,GDP,27,2025,47416.64439
212,Austria,Theta,GDP,27,2026,48252.55252
213,Austria,Theta,GDP,27,2027,49935.78958
214,Austria,Theta,GDP,27,2028,52505.25056
215,Austria,Theta,GDP,27,2029,54439.88903
216,Austria,Theta,GDP,27,2030,57737.79908
217,Austria,Theta,GDP,28,2023,45811.15558
218,Austria,Theta,GDP,28,2024,46787.56054
219,Austria,Theta,GDP,28,2025,47695.85499
220,Austria,Theta,GDP,28,2026,47260.01861
221,Austria,Theta,GDP,28,2027,49022.00386
222,Austria,Theta,GDP,28,2028,50803.60522
223,Austria,Theta,GDP,28,2029,52659.44854
224,Austria,Theta,GDP,28,2030,54603.89805
225,Austria,Theta,GDP,29,2023,46262.0019
226,Austria,Theta,GDP,29,2024,47636.42918
227,Austria,Theta,GDP,29,2025,49232.79594
228,Austria,Theta,GDP,29,2026,50813.87837
229,Austria,Theta,GDP,29,2027,52184.93361
230,Austria,Theta,GDP,29,2028,54113.69682
231,Austria,Theta,GDP,29,2029,56545.25717
232,Austria,Theta,GDP,29,2030,57867.67629
233,Austria,Theta,GDP,30,2023,46400.85029
234,Austria,Theta,GDP,30,2024,45531.858
235,Austria,Theta,GDP,30,2025,46872.68043
236,Austria,Theta,GDP,30,2026,48208.16781
237,Austria,Theta,GDP,30,2027,49182.94476
238,Austria,Theta,GDP,30,2028,51193.80653
239,Austria,Theta,GDP,30,2029,54678.67448
240,Austria,Theta,GDP,30,2030,57381.07803
241,Austria,Theta,GDP,31,2023,46530.66023
242,Austria,Theta,GDP,31,2024,46069.79113
243,Austria,Theta,GDP,31,2025,47264.64288
244,Austria,Theta,GDP,31,2026,48012.98766
245,Austria,Theta,GDP,31,2027,49116.85889
246,Austria,Theta,GDP,31,2028,50171.04164
247,Austria,Theta,GDP,31,2029,50974.28547
248,Austria,Theta,GDP,31,2030,54173.90072
249,Austria,Theta,GDP,32,2023,46232.23951
250,Austria,Theta,GDP,32,2024,46348.23408
251,Austria,Theta,GDP,32,2025,47571.19261
252,Austria,Theta,GDP,32,2026,48552.03786
253,Austria,Theta,GDP,32,2027,50518.52473
254,Austria,Theta,GDP,32,2028,52347.89842
255,Austria,Theta,GDP,32,2029,53399.61578
256,Austria,Theta,GDP,32,2030,54764.83387
257,Austria,Theta,GDP,33,2023,44648.84751
258,Austria,Theta,GDP,33,2024,45987.23806
259,Austria,Theta,GDP,33,2025,46372.59267
260,Austria,Theta,GDP,33,2026,48517.80248
261,Austria,Theta,GDP,33,2027,49529.99332
262,Austria,Theta,GDP,33,2028,51182.60681
263,Austria,Theta,GDP,33,2029,53227.48968
264,Austria,Theta,GDP,33,2030,56442.06855
265,Austria,Theta,GDP,34,2023,46314.72279
266,Austria,Theta,GDP,34,2024,47381.25859
267,Austria,Theta,GDP,34,2025,47375.99547
268,Austria,Theta,GDP,34,2026,47522.34218
269,Austria,Theta,GDP,34,2027,50017.46791
270,Austria,Theta,GDP,34,2028,51269.16591
271,Austria,Theta,GDP,34,2029,52240.7178
272,Austria,Theta,GDP,34,2030,55185.48652
273,Austria,Theta,GDP,35,2023,46893.49285
274,Austria,Theta,GDP,35,2024,46971.14554
275,Austria,Theta,GDP,35,2025,47044.87384
276,Austria,Theta,GDP,35,2026,47934.94464
277,Austria,Theta,GDP,35,2027,49249.9559
278,Austria,Theta,GDP,35,2028,50746.45429
279,Austria,Theta,GDP,35,2029,53128.56751
280,Austria,Theta,GDP,35,2030,55545.33482
281,Austria,Theta,GDP,36,2023,44138.39063
282,Austria,Theta,GDP,36,2024,43861.41393
283,Austria,Theta,GDP,36,2025,44380.65579
284,Austria,Theta,GDP,36,2026,45023.3129
285,Austria,Theta,GDP,36,2027,48156.8419
