"","country","stream","model","n_covariates","forecast_error_2023","abs_forecast_error_2023","pi_width_2023","train_sd","test_sd","sd_ratio","slope_full","slope_train","slope_diff","trend_reversal","max_abs_change","mean_abs_change"
"14","Austria","plastic","SVM",3,-2.32089658644108,2.32089658644108,6.19625939722016,4.03641165487603,3.21760780705169,0.797145604107249,0.12191452991453,0.506233766233763,-0.384319236319233,0,6.8,1.608
"15","Belgium","plastic","XARIMA",2,4.3708588589089,4.3708588589089,8.87708549816782,6.8769283010035,4.51807481124428,0.656990245279275,0.963384615384615,1.027012987013,-0.063628371628388,0,5,2.02
"16","Denmark","plastic","SVM",2,11.9861646975383,11.9861646975383,21.101596018848,9.28325938245317,6.84521730845705,0.737372190784155,0.948410256410257,1.45168831168834,-0.503278055278078,0,14.5,3.336
"17","Finland","plastic","BRR",2,-2.66298406563692,2.66298406563692,18.0702645604614,5.86718882957629,5.99691587401391,1.02211059643822,0.907521367521368,0.873376623376638,0.03414474414473,0,15.8,2.564
"18","France","plastic","SVM",4,-0.0852433243375188,0.0852433243375188,7.72488875758203,6.51210959893731,2.34158066271483,0.359573288369861,0.726529914529914,1.00597402597404,-0.279444111444124,0,5.5,1.364
"19","Germany","plastic","SVM",3,2.96,2.96,7.8,5.45847091793157,2.80588666912974,0.5140426158381,-0.284752136752137,-0.375194805194799,0.0904426684426617,0,8.4,2.368
"20","Ireland","plastic","SVM",6,5.70018600106512,5.70018600106512,16.4903421033184,13.8158208139041,1.91650723974631,0.138718304584376,1.22793162393162,2.00636363636367,-0.778432012432043,0,8.1,3.424
"21","Italy","plastic","BRR",4,1.01842298096252,1.01842298096252,13.6853025030865,10.0163604263463,1.69469761314519,0.169192954427597,1.44762393162393,1.59233766233768,-0.144713730713752,0,4.8,1.768
"22","Luxembourg","plastic","XARIMA",5,3.30926161094987,3.30926161094987,20.5934405441107,8.08269756949993,3.04959013639538,0.377298557835817,0.612410256410257,0.710129870129856,-0.0977196137195989,0,17.1,4.34
"23","Netherlands","plastic","XARIMA",4,-0.940526564976118,0.940526564976118,23.2293127523793,14.5238736142224,4.31219201798807,0.296903714017822,1.78044444444445,2.23675324675329,-0.456308802308843,0,10.4,3.3
"24","Portugal","plastic","BRR",1,7.34646545276039,7.34646545276039,18.6910641175817,13.2070346087945,1.92301846064982,0.145605619854233,1.68884615384615,2.16684210526313,-0.477995951416979,0,6.9,2.525
"25","Spain","plastic","XARIMA",3,-12.5357627319307,12.5357627319307,29.730259391998,12.027743722229,5.0197609504836,0.417348512440148,1.66495726495727,1.89350649350653,-0.22854922854926,0,10.2,2.404
"26","Sweden","plastic","SVM",2,5.22062676917199,5.22062676917199,28.2580576013757,12.2229838146556,13.1408903807923,1.07509676688241,1.06300854700855,1.77766233766237,-0.714653790653819,0,19.7,4.948
"27","Austria","metallic","SVM",2,6.20395974132697,6.20395974132697,32.789075754021,16.3973255659051,7.8722931855972,0.48009616897319,1.68888888888889,2.33870129870133,-0.64981240981244,0,26.1,5.004
"28","Belgium","metallic","XARIMA",1,0.945821469908694,0.945821469908694,8.89868929046635,10.7053858274368,1.14542568506211,0.106995273549739,1.06919658119658,1.5292207792208,-0.460024198024218,0,10.4,2.38
"29","Denmark","metallic","BSTS",1,-0.579670137360154,0.579670137360154,24.8275561838402,19.3457131956312,7.0432236937357,0.364071545076263,1.60611965811966,2.36922077922079,-0.76310112110113,0,24.3,9.168
"30","Finland","metallic","SVM",2,-7.79615810728993,7.79615810728993,15.373842455946,25.7361122975184,5.88642506110457,0.228722387944825,2.79617094017094,3.90519480519485,-1.10902386502391,0,14.3,4.712
"31","France","metallic","SVM",4,-4.68486525489668,4.68486525489668,31.5455092389132,12.3231547445101,13.6610028914425,1.10856377077699,1.23165811965812,1.92519480519485,-0.693536685536726,0,25.5,4.364
"32","Germany","metallic","XARIMA",2,1.5387133282552,1.5387133282552,6.9202237204801,5.51382677586862,3.7607180165495,0.682052260511404,0.322700854700855,0.773766233766252,-0.451065379065397,0,6.3,1.28
"33","Ireland","metallic","SVM",2,-4.94271259077323,4.94271259077323,21.6524332366344,23.0640010158069,6.81116730083765,0.295315946967294,2.12382905982906,3.35259740259744,-1.22876834276838,0,22.1,6.972
"34","Italy","metallic","Cubist",3,12.3271559143066,12.3271559143066,18.6620915985107,22.9324546481722,3.77663871716637,0.164685323708571,2.33435897435898,3.15259740259742,-0.818238428238447,0,33.4,4.572
"35","Luxembourg","metallic","SVM",2,-13.0864832408731,13.0864832408731,26.5740466031256,21.6798172545452,9.64536157953656,0.444900501987137,1.85969230769231,2.78025974025975,-0.920567432567442,0,31.4,6.412
"36","Netherlands","metallic","SVM",1,5.99895985895947,5.99895985895947,12.9711124579719,7.27618751558155,3.58427119509671,0.492602917038792,0.783589743589745,1.10142857142858,-0.317838827838833,0,12.6,2.232
"37","Portugal","metallic","Cubist",2,-37.3095216369629,37.3095216369629,50.1495166015625,20.2755203421811,4.91812972582058,0.242564907968795,0.816000000000013,2.02473684210532,-1.20873684210531,0,28.5,5.9695652173913
"38","Spain","metallic","SVM",4,-1.04601928015131,1.04601928015131,25.1150373994427,21.4726936230314,2.58302148655407,0.1202933144719,2.56215384615385,3.36389610389616,-0.801742257742311,0,10.7,2.964
"39","Sweden","metallic","SVM",2,2.52707530869334,2.52707530869334,3.02057344129346,11.0903969614214,1.22188379152848,0.11017493745074,1.17777777777778,1.36493506493507,-0.187157287157291,0,31.4,5.636
"40","Austria","paper_cardboard","BRR",2,-3.11733071716012,3.11733071716012,6.95072884800459,1.87393144154717,2.19931807613178,1.17363849464843,-0.0879658119658129,0.00909090909090858,-0.0970567210567214,1,5.5,1.42
"41","Belgium","paper_cardboard","SVM",2,-9.72739052220182,9.72739052220182,11.3409146841026,5.91962032244508,3.65308089152157,0.617114053357509,0.54888888888889,0.764545454545466,-0.215656565656576,0,13.4,3.304
"42","Denmark","paper_cardboard","SVM",3,10.5954427578112,10.5954427578112,44.6757430436964,15.6642237203733,15.8577425884014,1.01235419459545,1.42495726495726,2.05415584415587,-0.62919857919861,0,32.5,7.688
"43","Finland","paper_cardboard","SVM",2,-15.7269088290197,15.7269088290197,22.676632871619,20.441183918746,9.36589557917448,0.458187530448532,2.44246153846154,3.21805194805201,-0.775590409590472,0,17.7,3.58
"44","France","paper_cardboard","SVM",2,2.5269845710354,2.5269845710354,11.9827613599837,14.2102545133201,4.03150096118059,0.283703642141077,1.43254700854701,2.17311688311692,-0.740569874569913,0,9.2,3.552
"45","Germany","paper_cardboard","BRR",1,2.62886547636973,2.62886547636973,16.1274947850805,3.43993355417555,2.37907545067406,0.691605059576291,-0.0549743589743596,0.0403896103896123,-0.095363969363972,1,7.5,2.16
"46","Ireland","paper_cardboard","SVM",4,10.3116540445692,10.3116540445692,15.0205458122892,27.5732409964375,2.6651453994107,0.0966569508370467,2.51791452991453,3.76636363636369,-1.24844910644916,0,30.1,4.136
"47","Italy","paper_cardboard","XARIMA",3,18.7175895982142,18.7175895982142,26.8404032893137,16.1392216723879,2.85306852353742,0.17677856971372,1.85552136752137,2.42584415584419,-0.57032278832282,0,6.60000000000001,2.9
"48","Luxembourg","paper_cardboard","SVM",2,-0.687045891741775,0.687045891741775,6.59950418452978,14.2381579868023,1.96137706726677,0.137754972875341,1.50984615384615,2.00038961038964,-0.490543456543489,0,22.7,3.644
"49","Netherlands","paper_cardboard","XARIMA",1,-3.07132144679443,3.07132144679443,11.503106004621,11.0576045799992,1.27671453348037,0.115460317308657,1.01305982905983,1.307012987013,-0.293953157953176,0,22.3,2.612
"50","Portugal","paper_cardboard","SVM",3,-2.84169191358508,2.84169191358508,8.08137560385011,11.6675201442204,2.44703902706924,0.209730859413292,0.731,1.23195488721804,-0.500954887218038,0,13.6,5.73333333333333
"51","Spain","paper_cardboard","SVM",2,7.14143759145081,7.14143759145081,17.6783283045355,9.43893406007671,3.31737848307967,0.351456897777365,0.972102564102564,1.40896103896106,-0.436858474858496,0,7,2.78
"52","Sweden","paper_cardboard","SVM",1,4.48096704786599,4.48096704786599,12.2295879587687,6.32396048299451,3.70405183549043,0.585717106463715,0.385538461538462,0.477532467532469,-0.0919940059940068,0,18.2,5.092
