"","country","stream","model","n_covariates","forecast_error_2023","abs_forecast_error_2023","pi_width_2023","train_sd","test_sd","sd_ratio","slope_full","slope_train","slope_diff","trend_reversal","max_abs_change","mean_abs_change"
"1","Austria","metallic","SVM",2,6.20395974132697,6.20395974132697,32.789075754021,16.3973255659051,7.8722931855972,0.48009616897319,1.68888888888889,2.33870129870133,-0.64981240981244,0,26.1,5.004
"2","Belgium","metallic","XARIMA",1,0.945821469908694,0.945821469908694,8.89868929046635,10.7053858274368,1.14542568506211,0.106995273549739,1.06919658119658,1.5292207792208,-0.460024198024218,0,10.4,2.38
"3","Denmark","metallic","BSTS",1,-0.579670137360154,0.579670137360154,24.8275561838402,19.3457131956312,7.0432236937357,0.364071545076263,1.60611965811966,2.36922077922079,-0.76310112110113,0,24.3,9.168
"4","Finland","metallic","SVM",2,-7.79615810728993,7.79615810728993,15.373842455946,25.7361122975184,5.88642506110457,0.228722387944825,2.79617094017094,3.90519480519485,-1.10902386502391,0,14.3,4.712
"5","France","metallic","SVM",4,-4.68486525489668,4.68486525489668,31.5455092389132,12.3231547445101,13.6610028914425,1.10856377077699,1.23165811965812,1.92519480519485,-0.693536685536726,0,25.5,4.364
"6","Germany","metallic","XARIMA",2,1.5387133282552,1.5387133282552,6.9202237204801,5.51382677586862,3.7607180165495,0.682052260511404,0.322700854700855,0.773766233766252,-0.451065379065397,0,6.3,1.28
"7","Ireland","metallic","SVM",2,-4.94271259077323,4.94271259077323,21.6524332366344,23.0640010158069,6.81116730083765,0.295315946967294,2.12382905982906,3.35259740259744,-1.22876834276838,0,22.1,6.972
"8","Italy","metallic","Cubist",3,12.3271559143066,12.3271559143066,18.6620915985107,22.9324546481722,3.77663871716637,0.164685323708571,2.33435897435898,3.15259740259742,-0.818238428238447,0,33.4,4.572
"9","Luxembourg","metallic","SVM",2,-13.0864832408731,13.0864832408731,26.5740466031256,21.6798172545452,9.64536157953656,0.444900501987137,1.85969230769231,2.78025974025975,-0.920567432567442,0,31.4,6.412
"10","Netherlands","metallic","SVM",1,5.99895985895947,5.99895985895947,12.9711124579719,7.27618751558155,3.58427119509671,0.492602917038792,0.783589743589745,1.10142857142858,-0.317838827838833,0,12.6,2.232
"11","Portugal","metallic","Cubist",2,-37.3095216369629,37.3095216369629,50.1495166015625,20.2755203421811,4.91812972582058,0.242564907968795,0.816000000000013,2.02473684210532,-1.20873684210531,0,28.5,5.9695652173913
"12","Spain","metallic","SVM",4,-1.04601928015131,1.04601928015131,25.1150373994427,21.4726936230314,2.58302148655407,0.1202933144719,2.56215384615385,3.36389610389616,-0.801742257742311,0,10.7,2.964
"13","Sweden","metallic","SVM",2,2.52707530869334,2.52707530869334,3.02057344129346,11.0903969614214,1.22188379152848,0.11017493745074,1.17777777777778,1.36493506493507,-0.187157287157291,0,31.4,5.636
